#DX9d:
#	Frequency	Flux density	Uncertainty
     0.40800000       23.053650       4.4827266
     0.82000000       13.042999       2.4382779
      1.4200000       7.4806134      0.78069017
      22.800000       2.0229327     0.096415413
      28.400000       2.0096841      0.10859226
      33.000000       1.8445282      0.13545674
      40.700000       1.7031304      0.18008376
      44.100000       1.2962408      0.20875052
      60.700000       2.8808796      0.38029545
      70.400000       3.2590162      0.50710728
      93.500000       4.3241850      0.77702529
      100.00000       6.7522648       1.1574574
      143.00000       17.883218       1.4748642
      217.00000       67.894927       8.2424559
      353.00000       268.81355       13.240174
      545.00000       931.08642       104.21461
      600.00000       1291.5123       131.87874
      857.00000       3009.0761       310.95080
      1200.0000       5842.7749       769.56293
      1874.0000       6939.8086       904.65125
      2141.0000       7299.7486       980.38075
      2998.0000       2958.2244       390.67004

