Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS00188-0856,0.1284,3.85,1.02,,,,,1.63,0.48,2.99,0.8,2.43,0.35,,,,,2.66,0.17,,,0.8773,0.0044,0.3451,0.004,0.111,0.0047,2.29,0.23,3.403,0.24,,,,,0.37,0.07,,,,,,,,,,,,,,,,,,,,,0.01221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS00397-1312,0.2617,1.61,0.25,,,,,1.51,0.89,1.81,0.7,,,1.68,0.65,1.89,0.38,1.19,0.15,,,0.389,0.0037,0.1299,0.0039,0.0402,0.0051,1.83,0.128,1.904,0.17,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,0.004422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS01003-2238,0.1178,5.36,1.23,,,,,,,2.31,1.3,0.91,0.42,,,,,,,,,0.2221,0.0036,0.0699,0.0041,0.0263,0.0056,2.287,0.16,1.79,0.179,,,,,0.66,0.08,,,,,,,,,,,,,,,,,,,,,0.002893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS03158+4227,0.1344,5.63,0.11,,,,,1.94,0.66,3.27,1.35,,,,,,,2.54,0.24,,,0.9731,0.004,0.3768,0.0039,0.1372,0.0046,4.256,0.5,4.276,0.51,,,,,0.454,0.03,3.19,1,1.75,0.53,,,1.05,0.3,,,,,,,,,,,,,0.015092
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS03521+0028,0.1519,3.75,1.08,,,,,1.16,0.49,2.55,0.54,,,,,,,1.99,0.14,,,0.6837,0.0038,0.2703,0.0039,0.0937,0.0043,2.638,0.24,3.833,0.34,,,,,0.233,0.033,,,,,,,,,,,,,,,,,,,,,0.010307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS05189-2524,0.04256,13.2,1.2,11.3056488462,0.7152543731,6.230651614,0.3094680116,4.66,0.06,11.9,0.07,,,,,,,,,,,1.9634,0.0109,0.7173,0.0071,0.2107,0.0091,13.25,0.029,11.84,0.077,,,,,3.5,0.025,10.6,0.4,7,0.4,3.2,0.3,2.9,0.4,,,,,,,,,,,,,0.023177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS06035-7102,0.07947,30.58,2.04,,,,,3.09,0.46,5.19,0.9,3.93,0.39,4.37,1.14,4.99,0.76,4.38,0.13,,,1.2264,0.0221,0.3968,0.001,0.1295,0.0078,5.18,0.03,5.56,0.28,,,,,0.57,0.017,5.15,1.5,2.9,0.87,2.01,0.6,1.35,0.41,,,,,,,,,,,,,0.014245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS06206-6315,0.09244,9.25,1.19,,,,,2.69,0.48,3.2,1.07,3.16,0.36,,,,,3.7,0.17,,,1.2482,0.0046,0.4766,0.0039,0.1575,0.0046,3.959,0.119,4.577,0.275,,,,,0.294,0.018,4.57,1.37,2.9,0.87,1.87,0.56,1.5,0.45,,,,,,,,,,,,,0.017325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS07598+6508,0.1483,2.1,0.38,,,,,,,1.3,0.59,,,,,,,1.17,0.18,,,0.4999,0.004,0.1966,0.004,0.0582,0.0045,1.692,0.085,1.72,0.19,,,,,0.534,0.037,,,,,,,,,,,,,,,,,,,,,0.006402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS08311-2459,0.1004,24.32,0.35,,,,,2.71,0.58,5.48,1.6,3.79,0.33,4.38,1.37,5.38,0.62,4.13,0.15,,,1.2462,0.0048,0.4639,0.0039,0.1475,0.0047,4.959,0.35,5.8,0.41,,,,,1.095,0.055,,,,,,,,,,,,,,,,,,,,,0.016225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS08572+3915,0.05835,10,0.06,4.3673533634,0.2766763774,1.9937525154,0.1007906251,1.42,0.03,5.86,0.05,,,,,,,,,,,0.5044,0.004,0.1635,0.0037,0.0598,0.0043,7.3,0.028,4.77,0.152,0.017,0.007,,,1.84,0.033,,,,,,,,,,,,,,,,,,,,,0.006578
