#Name			ObsID       z    F250      E250     F350     E350   F500    E500	F100    F60     E100   E60
IRAS00397-1312    1342234696    0.262   0.389    0.004    0.130    0.004    0.040    0.005	1.9	1.83	0.17	0.128
Mrk1014           1342237540    0.163   0.460    0.004    0.175    0.004    0.063    0.005	2.32	2.38	0.13	0.056
3C273             1342234882    0.158   0.437    0.004    0.633    0.004    0.994    0.005	2.89	2.0	0.2	0.14
IRAS03521+0028    1342239850    0.152   0.684    0.004    0.270    0.004    0.094    0.004	3.83	2.64	0.34	0.24
IRAS07598+6508    1342229642    0.148   0.500    0.004    0.197    0.004    0.058    0.005	1.72	1.69	0.18	0.085
IRAS10378+1109    1342234867    0.136   0.480    0.004    0.183    0.004    0.050    0.005	1.82	2.28	0.16	0.14
IRAS03158+4227    1342226656    0.134   0.973    0.004    0.377    0.004    0.137    0.005	4.28	4.26	0.51	0.5
IRAS16090-0139    1342229565    0.134   1.067    0.004    0.404    0.004    0.116    0.005	4.87	3.61	0.49	0.14
IRAS20100-4156    1342230817    0.13   1.001    0.004    0.349    0.004    0.102    0.005	5.17	5.19	0.36	0.04
IRAS23253-5415    1342234737    0.13   1.044    0.005    0.437    0.004    0.165    0.005	3.49	2.30	0.21	0.18
IRAS00188-0856    1342234693    0.128   0.877    0.004    0.345    0.004    0.111    0.005	3.4	2.3	0.24	0.23
IRAS12071-0444    1342234858    0.128   0.471    0.004    0.163    0.004    0.044    0.005	2.47	2.46	0.25	0.15
IRAS13451+1232    1342234792    0.122   0.503    0.005    0.256    0.004    0.197    0.006	2.06	2.1	0.19	0.32
IRAS01003-2238    1342234707    0.118   0.222    0.004    0.070    0.004    0.026    0.006	1.79	2.29	0.18	0.16
IRAS23230-6926    1342230806    0.107   0.617    0.004    0.204    0.004    0.064    0.005	3.42	3.74	0.21	0.15
IRAS11095-0238    1342234863    0.106   0.380    0.004    0.119    0.004    0.036    0.005	2.53	3.25	0.25	0.16
IRAS20087-0308    1342230838    0.106   1.804    0.006    0.687    0.004    0.210    0.005	6.54	4.7	0.52	0.28
IRAS15462-0450    1342238307    0.1     0.492    0.004    0.162    0.004    0.050    0.008	3.0	2.1	0.42	0.20
IRAS08311-2459    1342230796    0.099   1.246    0.005    0.464    0.004    0.148    0.005	5.8	4.96	0.41	0.35
IRAS06206-6315    1342226638    0.092   1.248    0.005    0.477    0.004    0.158    0.005	4.58	3.96	0.28	0.12
IRAS20414-1651    1342231345    0.087   1.315    0.005    0.519    0.004    0.168    0.005	5.25	4.36	0.37	0.26
IRAS19297-0406    1342230837    0.086   2.039    0.006    0.752    0.004    0.244    0.005	8.62	7.32	0.47	0.11
IRAS14348-1447    1342238301    0.083   1.842    0.006    0.666    0.005    0.197    0.006	7.31	6.46	0.13	0.04
IRAS06035-7102    1342195728    0.079   1.226    0.022    0.397    0.001    0.130    0.008	5.56	5.18	0.28	0.03
IRAS22491-1808    1342234671    0.078   0.862    0.004    0.305    0.004    0.097    0.005	4.64	5.54	0.01	0.036
IRAS14378-3651    1342238295    0.067   1.330    0.005    0.478    0.005    0.135    0.006	8.08	6.72	0.22	0.04
IRAS23365+3604    1342234919    0.064   1.849    0.006    0.669    0.004    0.210    0.005	9.01	7.44	0.22	0.05
IRAS19254-7245    1342206210    0.062   1.545    0.005    0.587    0.004    0.185    0.005	5.79	5.16	0.46	0.03
IRAS09022-3615    1342230799    0.06    2.449    0.007    0.823    0.004    0.252    0.005	11.08	11.64	0.36	0.06
IRAS08572+3915    1342230749    0.058   0.504    0.004    0.164    0.004    0.060    0.004	4.77	7.3	0.15	0.03
IRAS15250+3609    1342234775    0.058   0.966    0.004    0.368    0.004    0.136    0.005	5.91	7.27	0.3	0.36
Mrk463            1342236151    0.05    0.344    0.004    0.134    0.004    0.052    0.005	1.92	2.18	0.21	0.66
IRAS23128-5919    1342209299    0.045   1.565    0.008    0.556    0.006    0.176    0.007	10.68	10.94	0.1	0.04
IRAS10565+2448    1342234869    0.043   3.619    0.011    1.319    0.004    0.407    0.005	15.0	12.1	0.12	0.025
IRAS20551-4250    1342230815    0.043   1.629    0.005    0.556    0.004    0.170    0.005	10.31	12.19	0.07	0.03
IRAS05189-2524    1342203632    0.043   1.963    0.011    0.717    0.007    0.211    0.009	11.84	13.25	0.08	0.03
IRAS17208-0014    1342203587    0.043   7.918    0.037    2.953    0.010    0.954    0.009	36.1	32.1	0.56	0.06
Mrk231            1342201218    0.042   5.618    0.019    2.011    0.008    0.615    0.008	30.29	31.99	1.2	1.6
UGC5101           1342204962    0.039   6.071    0.039    2.327    0.018    0.746    0.009	19.91	11.68	0.14	0.03
Mrk273            1342201217    0.038   4.190    0.011    1.493    0.006    0.471    0.006	21.38	21.74	0.86	0.87
IRAS13120-5453    1342226970    0.031   12.097    0.036    4.441    0.010    1.355    0.006	52.33	41.11	0.2	0.07
NGC6240           1342203586    0.024   5.166    0.029    2.031    0.009    0.744    0.008	26.49	22.94	0.17	0.05	
Arp220            1342188687    0.018   30.414    0.132    12.064    0.036    4.145    0.015	112.4	103.8	3.4	3.4
