nu_emit     flux_Jy     1sigma_error_Jy
      5.21189188E+12          12.17000039           1.09529999
      3.12713513E+12          14.34000052           1.43400005
      1.83949125E+12           7.93500014           1.29999999
      1.97919945E+12           6.96900052           1.60000006
      2.15664492E+12           5.79599967           1.00000003
      2.56322551E+12           6.41700046           0.70000001
      3.55356265E+12          16.00800173           2.20000010
      4.96370655E+12           9.66000009           1.50000004
      6.94918917E+11           0.39128382           0.16077641
      3.67898250E+11           0.07537694           0.00871104
