nu_emit     flux_Jy     1sigma_error_Jy
      3.59004793E+12           5.44999995           1.63500003
      2.69253595E+12           3.55000004           1.06500008
      2.15402876E+12           2.70000012           0.81000002
      1.79502397E+12           1.95000010           0.58499999
      1.61552157E+12           1.70000009           0.51000000
      1.90061361E+12           3.08999999           0.92700001
      5.38507190E+12           5.54000010           0.66000004
      3.23104314E+12           4.63999998           0.56000002
      3.80122722E+11           0.04191339           0.00683767
      2.04496401E+12           3.30000004           1.00000003
