#DX11d:
#	Frequency	Flux density	Uncertainty
     0.40800000       23.053650       4.4827266
     0.82000000       13.042999       2.4382779
      1.4200000       7.4806134      0.78069017
      22.800000       2.0228985     0.096415413
      28.400000       2.0001322      0.19879299
      33.000000       1.8459879      0.13545674
      40.700000       1.7051723      0.18008376
      44.100000       1.6647975      0.45168750
      60.700000       2.8844245      0.38029545
      70.400000       2.9610203      0.96738515
      93.500000       4.3240622      0.77702529
      100.00000       6.6429387       1.8990383
      143.00000       18.215784       2.8533954
      217.00000       69.871220       9.2128588
      353.00000       280.00569       18.187254
      545.00000       929.41522       110.16544
      600.00000       1291.5123       131.87874
      857.00000       2924.7886       319.50661
      1200.0000       5842.7749       769.56293
      1249.0000       5607.3693       772.18126
      1874.0000       6939.8086       904.65125
      2141.0000       7260.0403       980.38075
      2998.0000       2958.2244       390.67004
