#============================ SPDUST.2 ===============================
#
#    Rotational emission from a population of spinning dust grains,
#    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
#    and in Silsbee, Ali-Haimoud & Hirata, 2010
#    for an environment with parameters given below. 
#
#    nH = 0.10000000 cm^-3
#    T = 8000.0000 K
#    Chi = 1.0000000
#    xh = 0.990000
#    xC = 0.0010000000
#    mu(1E-7 cm) = 9.67471 debye (this corresponds to beta = 0.40000001 debye)
#
#
#    Diklike grains are asssumed to be randomly oriented with respect to their angular momentum vector.
#
#=====================================================================
#
#nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
#
      0.50870968   1.2959960e-23
      0.52658684   1.4219305e-23
      0.54509225   1.5614669e-23
      0.56424797   1.7164427e-23
      0.58407686   1.8889733e-23
      0.60460259   2.0814390e-23
      0.62584964   2.2965792e-23
      0.64784335   2.5375080e-23
      0.67060997   2.8078032e-23
      0.69417665   3.1115690e-23
      0.71857153   3.4535162e-23
      0.74382369   3.8390771e-23
      0.76996326   4.2744912e-23
      0.79702144   4.7669690e-23
      0.82503050   5.3248116e-23
      0.85402386   5.9576169e-23
      0.88403611   6.6764587e-23
      0.91510305   7.4941501e-23
      0.94726176   8.4254974e-23
      0.98055059   9.4876582e-23
       1.0150093   1.0700444e-22
       1.0506789   1.2086901e-22
       1.0876020   1.3673584e-22
       1.1258227   1.5491459e-22
       1.1653866   1.7576212e-22
       1.2063408   1.9969446e-22
       1.2487342   2.2719223e-22
       1.2926174   2.5881423e-22
       1.3380428   2.9520823e-22
       1.3850645   3.3712639e-22
       1.4337387   3.8544106e-22
       1.4841234   4.4116527e-22
       1.5362787   5.0547547e-22
       1.5902668   5.7973729e-22
       1.6461523   6.6553693e-22
       1.7040016   7.6471795e-22
       1.7638839   8.7942018e-22
       1.8258706   1.0121328e-21
       1.8900357   1.1657475e-21
       1.9564556   1.3436239e-21
       2.0252097   1.5496706e-21
       2.0963800   1.7884289e-21
       2.1700513   2.0651813e-21
       2.2463116   2.3860680e-21
       2.3252519   2.7582291e-21
       2.4069663   3.1899703e-21
       2.4915523   3.6909476e-21
       2.5791108   4.2723883e-21
       2.6697464   4.9473519e-21
       2.7635670   5.7310224e-21
       2.8606848   6.6410526e-21
       2.9612154   7.6979703e-21
       3.0652790   8.9256410e-21
       3.1729995   1.0351790e-20
       3.2845056   1.2008666e-20
       3.3999302   1.3933719e-20
       3.5194111   1.6170438e-20
       3.6430909   1.8769337e-20
       3.7711170   2.1789057e-20
       3.9036422   2.5297626e-20
       4.0408246   2.9373849e-20
       4.1828280   3.4109147e-20
       4.3298216   3.9609213e-20
       4.4819809   4.5996382e-20
       4.6394875   5.3412067e-20
       4.8025291   6.2019195e-20
       4.9713004   7.2005679e-20
       5.1460026   8.3587693e-20
       5.3268443   9.7013232e-20
       5.5140412   1.1256675e-19
       5.7078165   1.3057301e-19
       5.9084016   1.5140236e-19
       6.1160356   1.7547492e-19
       6.3309663   2.0326731e-19
       6.5534502   2.3531494e-19
       6.7837527   2.7221948e-19
       7.0221484   3.1465044e-19
       7.2689219   3.6335019e-19
       7.5243676   4.1913287e-19
       7.7887902   4.8288611e-19
       8.0625051   5.5556465e-19
       8.3458390   6.3818690e-19
       8.6391299   7.3181810e-19
       8.9427276   8.3755506e-19
       9.2569945   9.5650567e-19
       9.5823053   1.0897627e-18
       9.9190483   1.2383521e-18
       10.267625   1.4032194e-18
       10.628452   1.5851646e-18
       11.001959   1.7848038e-18
       11.388591   2.0025176e-18
       11.788811   2.2384133e-18
       12.203095   2.4922899e-18
       12.631939   2.7636283e-18
       13.075852   3.0515668e-18
       13.535366   3.3549192e-18
       14.011028   3.6722425e-18
       14.503406   4.0018732e-18
       15.013087   4.3420231e-18
       15.540680   4.6908765e-18
       16.086813   5.0467378e-18
       16.652138   5.4079612e-18
       17.237330   5.7731159e-18
       17.843087   6.1408761e-18
       18.470132   6.5099623e-18
       19.119213   6.8788276e-18
       19.791103   7.2455166e-18
       20.486605   7.6073484e-18
       21.206549   7.9605833e-18
       21.951793   8.3004689e-18
       22.723227   8.6209647e-18
       23.521770   8.9150484e-18
       24.348376   9.1749626e-18
       25.204031   9.3924373e-18
       26.089755   9.5592384e-18
       27.006606   9.6674854e-18
       27.955676   9.7099411e-18
       28.938099   9.6802645e-18
       29.955047   9.5732024e-18
       31.007732   9.3855709e-18
       32.097411   9.1163894e-18
       33.225384   8.7679324e-18
       34.392996   8.3459630e-18
       35.601640   7.8597699e-18
       36.852759   7.3215816e-18
       38.147845   6.7456138e-18
       39.488442   6.1473036e-18
       40.876152   5.5417401e-18
       42.312628   4.9432333e-18
       43.799586   4.3641797e-18
       45.338798   3.8146493e-18
       46.932102   3.3023343e-18
       48.581398   2.8322339e-18
       50.288653   2.4073056e-18
       52.055905   2.0283885e-18
       53.885263   1.6949734e-18
       55.778908   1.4052323e-18
       57.739099   1.1566070e-18
       59.768176   9.4581434e-19
       61.868559   7.6922571e-19
       64.042755   6.2286174e-19
       66.293356   5.0266045e-19
       68.623048   4.0458639e-19
       71.034611   3.2487695e-19
       73.530921   2.6020005e-19
       76.114957   2.0777711e-19
       78.789801   1.6536968e-19
       81.558645   1.3120349e-19
       84.424793   1.0383127e-19
       87.391663   8.2032019e-20
       90.462796   6.4747250e-20
       93.641854   5.1066983e-20
       96.932632   4.0233643e-20
       100.33905   3.1640047e-20
       103.86519   2.4816442e-20
       107.51523   1.9403573e-20
       111.29355   1.5123285e-20
       115.20465   1.1753826e-20
       119.25319   9.1132573e-21
       123.44401   7.0513620e-21
       127.78210   5.4453997e-21
       132.27263   4.1970760e-21
       136.92098   3.2287452e-21
       141.73268   2.4793574e-21
       146.71348   1.9007173e-21
       151.86930   1.4547188e-21
       157.20632   1.1113670e-21
       162.73089   8.4730652e-22
       168.44961   6.4449947e-22
       174.36929   4.8905970e-22
       180.49701   3.7022517e-22
       186.84006   2.7960697e-22
       193.40603   2.1064998e-22
       200.20273   1.5826591e-22
       207.23829   1.1854275e-22
       214.52109   8.8489928e-23
       222.05983   6.5823788e-23
       229.86349   4.8787435e-23
       237.94140   3.6026915e-23
       246.30317   2.6498182e-23
       254.95880   1.9404317e-23
       263.91860   1.4140355e-23
       273.19327   1.0250359e-23
       282.79388   7.3892997e-24
       292.73187   5.2960832e-24
       303.01910   3.7725731e-24
       313.66785   2.6696016e-24
       324.69082   1.8754131e-24
       336.10115   1.3071322e-24
       347.91248   9.0331870e-25
       360.13888   6.1864994e-25
       372.79494   4.1964355e-25
       385.89576   2.8177049e-25
       399.45697   1.8713578e-25
       413.49475   1.2283921e-25
       428.02586   7.9624211e-26
       443.06761   5.0926435e-26
       458.63797   3.2108814e-26
       474.75550   1.9941456e-26
       491.43944   1.2187927e-26
