F04325-1419    68.75955  -14.22803   4     1.196     3.714     6.966    23.180  3  3  3  1       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   0         0.00000    0.00000   0.000013   5   0.000000   0.000000   0.000000   0.000000  0  0.00      0.000   0    0.00    0.00    0.0000  0.0000  0.0000  0.0000    0.00    0.00    0.00    0.00       0.00    0        0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0      68.77055 -14.24504  124527.34   12375.44    2943.78     306.24   12344.60    1065.46   51236.69    4437.42 210.88336 -36.56152  1       1.205   G             MCG -02-12-042            -9223372036854775808                       
F15273+6456   232.00279   64.76315   2     0.141     0.115     1.220     4.058  3  2  3  2       0.00    0.00    0.00    0.00    0.00   10.28    9.65    9.43    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.03   1         4.30000    0.60000   0.001451   5   0.006648   0.001772   0.004620   0.001451  5  0.00      0.293   1  -18.26    9.56    1.0000  0.0000  0.0000  0.0000    8.34    5.08    5.01    6.52       8.34    1        0.326  -0.93  -0.89   0.09   0.58   0.64   0.68   0.68   0.63   0.31  -0.06  -0.52  -1.30  -1.91  -2.06   1     231.98582  64.76081    1590.22     195.12     -82.11      52.72      84.03      59.49     505.77     106.90 100.57451  44.97877  0       0.456   G             NGC 5949                  -9223372036854775808       15280067+6445473
F14576+7152   224.44046   71.68233   4     0.066     0.059     0.338     1.525  1  1  3  2       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   0         0.00000    0.00000   0.001491   5   0.000000   0.000000   0.000000   0.001491  0  0.00      0.000   0    0.00    0.00    1.0000  0.0000  0.0000  0.0000    7.81    4.54    4.47    5.98       7.81    1        0.956  -1.49  -1.45  -0.47   0.02   0.09   0.12   0.12   0.07  -0.25  -0.62  -1.08  -1.86  -2.47  -2.62   1     224.46709  71.67883    1388.85     155.95      23.54      37.69     169.30      42.97     478.46      89.81 110.09193  42.15440  0       0.544   G             NGC 5832                  -9223372036854775808                       
F12299+4259   188.11208   42.70412   1     0.087     0.100     0.535     1.209  1  1  3  2      14.65   13.59   13.19   13.02   13.15   12.94   12.38   12.19    0.01    0.00    0.00    0.00    0.01    0.05    0.07    0.11   1         0.00000    0.00000   0.001791   5   0.009317   0.001426   0.004620   0.001791  5  0.00      0.799   2  -16.06    8.68    0.5000  0.5000  0.0000  0.0000    7.87    7.60    4.83    6.34       8.06    1        0.000  -1.43  -1.09  -0.27   0.04   0.08   0.11   0.08   0.03  -0.31  -0.68  -1.15  -1.93  -2.54  -2.69   1     188.09593  42.72380    1393.92     124.46     -19.28      32.51     147.51      54.44     739.58      94.44 135.66403  73.93018  1       1.379   G      GALAXY UGC 07690                   588017948816179304       12322795+4242197
F12023+2716   181.21594   26.99252   1     0.053     0.090     0.286     1.037  1  1  3  2      15.14   13.74   13.24   12.95   12.81   11.95   11.31   11.04    0.01    0.00    0.00    0.00    0.01    0.03    0.04    0.06   1         0.00000    0.00000   0.001891   5   0.000000   0.000000   0.018590   0.001891  5  0.00      0.244   0  -17.17    9.12    1.0000  0.0000  0.0000  0.0000    7.94    4.68    4.61    6.11       7.94    1        0.001  -1.56  -1.52  -0.54  -0.05   0.01   0.05   0.05   0.00  -0.32  -0.69  -1.15  -1.93  -2.54  -2.69   1     181.20219  26.95991     950.24     118.22     -47.30      44.82     -77.57      92.59     305.38      75.20 211.20020  79.61971  1       2.090   G      GALAXY NGC 4080                    587741708348489785       12045180+2659334
F12129+0951   183.87712    9.58489   1     0.224     0.287     3.010     7.420  3  2  3  2      15.36   13.38   12.55   12.13   11.85   10.56    9.82    9.53    0.01    0.00    0.00    0.00    0.00    0.02    0.02    0.03   1        18.70000    1.40000   0.002011   5   0.013476   0.001321   0.004620   0.002011  3  0.00      0.044   1  -17.56    9.42    0.7500  0.2500  0.0000  0.0000    8.90    8.15    5.68    7.19       8.97    1        0.850  -0.60  -0.41   0.48   0.89   0.95   0.98   0.97   0.92   0.59   0.22  -0.24  -1.02  -1.63  -1.78   1     183.87999   9.57812    1366.68     105.20      23.62      60.50     141.46     104.88     534.35     154.70 275.46210  70.50972  0       0.440   G      GALAXY NGC 4207                    587732771056123916       12153043+0935057
F12006+4448   180.79036   44.53126   2     0.855     1.590     7.131    23.920  3  3  3  2       0.00    0.00    0.00    0.00    0.00    8.83    8.23    7.88    0.00    0.00    0.00    0.00    0.00    0.02    0.02    0.02   1        94.40000    4.00000   0.002336   5   0.006390   0.002122   0.004620   0.002336  6  0.00      0.853   1  -20.13   10.46    0.7500  0.2500  0.0000  0.0000    9.40    8.66    6.19    7.69       9.47    1        2.822  -0.23  -0.04   0.85   1.26   1.32   1.35   1.34   1.29   0.97   0.60   0.13  -0.65  -1.25  -1.41   1     180.79037  44.53430   10185.11     225.30     114.74      31.75     662.06      51.45    2895.41      67.01 148.87772  70.08278  0       0.182   G             NGC 4051                  -9223372036854775808       12030968+4431525
F23318-3622   353.61453  -36.10108   2     0.127     0.149     0.828     5.055  1  1  3  2       0.00    0.00    0.00    0.00    0.00   10.24    9.47    9.39    0.00    0.00    0.00    0.00    0.00    0.02    0.03    0.04   1         0.00000    0.00000   0.002338   5   0.000000   0.000000   0.004620   0.002338  4  0.00      5.232   0  -18.53    9.73    1.0000  0.0000  0.0000  0.0000    8.59    5.32    5.26    6.76       8.59    1        5.207  -1.10  -1.06  -0.08   0.41   0.48   0.51   0.51   0.46   0.14  -0.22  -0.69  -1.47  -2.07  -2.23   1     353.61652 -36.10474    6047.13     266.15     122.74      62.06     689.16      91.97    2499.36     135.49 359.37698 -71.36588  0       0.240   G             IC 5332                   -9223372036854775808       23342748-3606038
F12399+0414   190.62978    3.96036   2     0.164     0.343     2.399     5.584  3  3  3  2       0.00    0.00    0.00    0.00    0.00   10.97   10.45   10.19    0.00    0.00    0.00    0.00    0.00    0.03    0.05    0.07   1        12.60000    1.20000   0.002458   5   0.004556   0.003678   0.004620   0.002458  5  0.00      1.230   1  -18.72    9.74    0.5000  0.5000  0.0000  0.0000    8.80    8.53    5.76    7.27       8.98    1        0.037  -0.78  -0.43   0.38   0.69   0.74   0.76   0.73   0.68   0.34  -0.03  -0.50  -1.28  -1.89  -2.04   1     190.62744   3.95851    2104.41     112.62     -71.85      76.32     -65.68      90.50     515.74     153.58 297.28735  66.73236  0       0.178   G             NGC 4630                  -9223372036854775808       12423114+0357372
F11366+4647   174.83617   46.51339   2     0.156     0.134     1.003     2.854  1  1  3  2       0.00    0.00    0.00    0.00    0.00   11.79   11.18   11.00    0.00    0.00    0.00    0.00    0.00    0.03    0.06    0.08   1         9.50000    1.80000   0.002465   5   0.008939   0.004971   0.004620   0.002465  5  0.00      0.687   1  -17.90    9.42    0.7000  0.3000  0.0000  0.0000    8.57    7.93    5.38    6.89       8.66    1        0.004  -1.09  -0.87   0.00   0.39   0.45   0.48   0.46   0.42   0.09  -0.28  -0.75  -1.53  -2.13  -2.29   1     174.84526  46.52076    1294.19      75.59      30.04      41.02     227.28      63.85     569.23      72.90 154.41948  65.95791  0       0.580   G             NGC 3782                  -9223372036854775808       11392067+4630482
F12233+2750   186.46387   27.56080   1     0.056     0.122     0.328     1.394  1  1  3  2      15.45   13.98   13.42   13.22   13.41    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.01    0.00    0.00    0.00   0         0.00000    0.00000   0.002518   5   0.000000   0.000000   0.004620   0.002518  3  0.00     28.488   0  -16.06    8.82    1.0000  0.0000  0.0000  0.0000    8.25    4.99    4.92    6.42       8.25    1        0.500  -1.50  -1.46  -0.48   0.01   0.07   0.11   0.11   0.06  -0.26  -0.63  -1.09  -1.87  -2.48  -2.63   1     186.46362  27.54712     992.49     101.12     -17.37      46.28     145.16      84.03     705.91      94.30 207.25000  84.30368  0       0.821   G      GALAXY NGC 4393                    587741602032648268                       
