#	z_spec	    F250	E250	     F350	  E350	       F500	    E500
2.95600      397.000      5.00000      433.000      5.00000      251.000      5.00000
3.52000      77.0000      5.00000      105.000      5.00000      110.000      5.00000
2.99000      135.000      5.00000      137.000      5.00000      98.0000      5.00000
3.05000      136.000      5.00000      127.000      5.00000      94.0000      5.00000
2.98000      230.000      5.00000      156.000      5.00000      86.0000      5.00000
2.92500      199.000      5.00000      151.000      5.00000      86.0000      5.00000
3.35200      86.0000      5.00000      100.000      5.00000      86.0000      5.00000
2.80000      158.000      5.00000      186.000      5.00000      156.000      5.00000
3.27400      157.000      5.00000      198.000      5.00000      166.000      5.00000
1.32500      324.000      5.00000      251.000      5.00000      135.000      5.00000
1.78000      109.000      5.00000      94.0000      5.00000      67.0000      5.00000
2.30700      178.000      5.00000      195.000      5.00000      137.000      5.00000
2.17900      105.000      5.00000      121.000      5.00000      94.0000      5.00000
2.98500      103.000      5.00000      115.000      5.00000      101.000      5.00000
3.39000      101.000      5.00000      147.000      5.00000      141.000      5.00000
2.50000      82.0000      5.00000      99.0000      5.00000      89.0000      5.00000
3.25000      72.0000      5.00000      77.0000      5.00000      63.0000      5.00000
6.33200      7.80000      3.00000      18.5000      3.00000      42.2000      3.00000
1.57700      485.000      73.0000      323.000      49.0000      175.000      28.0000
1.78600      442.000      67.0000      363.000      55.0000      238.000      37.0000
3.04200      129.000      20.0000      182.000      28.0000      166.000      27.0000
2.62500      105.000      17.0000      128.000      20.0000      108.000      18.0000
2.30800      328.000      50.0000      308.000      47.0000      220.000      34.0000
2.27200      260.500      15.0000      321.300      15.0000      269.400      15.0000
2.41010      241.900      15.0000      292.900      15.0000      230.500      15.0000
2.58300      141.700      15.0000      175.300      15.0000      139.600      15.0000
2.08940      388.900      15.0000      381.400      15.0000      242.300      15.0000
3.25900      323.100      15.0000      378.300      15.0000      297.700      15.0000
3.12740      280.900      15.0000      292.800      15.0000      219.200      15.0000
2.19100      131.500      15.0000      151.600      15.0000      107.500      15.0000
2.57700      74.4000      15.0000      117.900      15.0000      106.400      15.0000
4.24300      115.000      15.0000      191.800      15.0000      204.400      15.0000
2.47780      189.500      15.0000      240.200      15.0000      198.700      15.0000
1.02600      778.400      15.0000      467.000      15.0000      225.500      15.0000
2.30090      481.000      15.0000      484.500      15.0000      344.400      15.0000
2.30730      347.300      15.0000      377.500      15.0000      267.800      15.0000
3.18090      347.300      15.0000      377.500      15.0000      267.800      15.0000
2.20230      295.300      15.0000      293.900      15.0000      191.500      15.0000
