# Name		F25	   F60		F100		F250	F350		F350_857	F500	F550_545	F850_353   F1400_217     E25        E60          E100            E250       E350         E350_857      E500        E550_545      E850_353     E1400_217		
    5685      190.000      360.000      2180.00      3954.00      2178.90      2287.71      996.500      820.505      218.424      89.6584      19.0000      36.0000      218.000      403.800      209.100      92.4770      122.100      70.3153      64.2925      31.9385
    5826      270.000      2790.00      10300.0      12804.3      6068.70      6065.84      2385.10      2196.38      499.450      248.739      27.0000      279.000      1030.00      1679.20      726.900      223.195      362.700      134.808      54.3255      48.0540
    5842      240.000      1280.00      5050.00      5556.70      2517.80      2755.20      963.900      722.992      325.049      189.734      24.0000      128.000      505.000      283.000      220.300      147.227      82.1000      68.5002      60.5737      65.9240
    6024      640.000      6640.00      11170.0      5445.00      2409.50      2721.75      979.000      758.721      199.209      19.0454      64.0000      664.000      1117.00      786.100      355.400      112.436      127.700      69.8625      56.2711      49.3404
    6128      160.000      1360.00      4070.00      2507.70      1050.70      1099.16      356.000      361.599      109.512     -63.6025      16.0000      136.000      407.000      127.300      63.5000      177.097      39.9000      87.0865      72.7760      44.6814
    6360      1450.00      9710.00      27640.0      19767.8      8442.50      9226.20      3165.20      2890.08      569.773      70.9286      145.000      971.000      2764.00      1158.20      864.800      314.504      546.800      151.902      75.0169      50.0907
    6420      310.000      2900.00      7760.00      5923.10      2759.90      2774.19      1099.20      883.631      236.514      43.7317      31.0000      290.000      776.000      345.600      210.700      116.893      78.6000      85.6661      74.5012      35.4323
    6453      240.000      2230.00      7240.00      5845.50      2570.40      2691.20      958.900      832.120      166.172      8.88112      24.0000      223.000      724.000      221.300      122.000      85.9367      58.6000      70.6997      56.6993      41.2878
    6460      290.000      3330.00      10760.0      9766.70      4084.40      3997.34      1479.40      956.375      189.211      55.6405      29.0000      333.000      1076.00      356.300      218.000      118.297      120.300      94.4596      82.2058      49.3189
    6547      360.000      2680.00      7380.00      5600.00      2348.80      2270.15      843.300      624.585      103.463     -4.32729      36.0000      268.000      738.000      327.700      142.300      126.033      58.6000      76.0202      58.2111      27.1455
    6577      200.000      800.000      2500.00      2155.90      1149.60      1285.57      522.700      427.281      69.7937     0.274146      20.0000      80.0000      250.000      183.800      169.300      91.2172      52.8000      67.8146      64.1339      45.7486
    6579      160.000      1270.00      5990.00      7339.90      3487.30      3753.69      1389.60      1194.89      243.081      110.804      16.0000      127.000      599.000      781.100      320.900      141.235      151.100      74.0022      60.7192      34.9832
    6787      70.0000      420.000      2020.00      3457.20      1769.30      2091.88      701.700      678.466      201.051      7.22257      7.00000      42.0000      202.000      545.600      458.900      134.610      195.800      69.3720      55.5853      41.2750
    7021      970.000      6500.00      13570.0      8494.80      3566.20      3756.98      1224.00      841.188      188.895      192.201      97.0000      650.000      1357.00      231.500      458.800      160.482      103.300      181.385      127.400      61.6290
    7116      1270.00      5720.00      10720.0      8086.80      3786.90      4173.58      1597.00      1481.99      354.343      44.8724      127.000      572.000      1072.00      660.000      591.100      113.080      350.100      76.1408      82.6875      53.1510
    7231      1460.00      8110.00      23070.0      26860.5      12079.7      12484.8      4698.70      3761.23      1131.27      154.821      146.000      811.000      2307.00      2011.10      822.400      386.662      461.700      143.688      78.7412      55.1533
    7260      160.000      630.000      2370.00      3697.40      2075.70      1705.68      983.300      478.332      332.229      130.227      16.0000      63.0000      237.000      357.300      278.800      271.206      106.700      127.671      83.4718      67.1052
    7268      240.000      3080.00      7470.00      3474.70      1325.40      1377.27      431.100      527.123      134.849      22.5731      24.0000      308.000      747.000      65.1000      70.3000      106.013      28.4000      152.613      99.9777      57.8156
    7275      1000.00      6370.00      16600.0      12620.0      5019.50      5035.59      1772.90      1799.12      379.247      144.523      100.000      637.000      1660.00      361.900      241.100      188.197      164.500      82.7034      93.7039      59.7946
    7345      4480.00      34760.0      92770.0      63575.5      24919.0      24598.1      8477.30      5480.84      1280.09      262.963      448.000      3476.00      9277.00      3006.20      1515.00      502.235      788.000      134.071      88.0431      45.9711
    7403      370.000      900.000      2410.00      2272.30      1186.60      1245.06      502.000      292.280      9.98220      74.1136      37.0000      90.0000      241.000      153.000      140.000      129.674      55.3000      115.448      80.1098      47.3900
    7407      190.000      2730.00      5910.00      3994.30      1880.40      2167.57      811.800      776.213      79.3595      83.7377      19.0000      273.000      591.000      259.600      217.800      200.914      106.100      118.619      70.5627      43.8954
    7420      4900.00      37530.0      79650.0      54168.7      21943.2      22065.9      7911.50      6110.29      1127.90      243.139      490.000      3753.00      7965.00      2344.20      1342.90      427.498      956.400      154.772      97.8194      40.3570
    7442      470.000      1970.00      6020.00      4075.00      1570.30      1437.49      533.400      385.909      121.524     -16.2620      47.0000      197.000      602.000      288.500      118.800      122.992      77.9000      124.223      73.9963      47.9697
    7445      140.000      1060.00      4530.00      3941.60      1690.60      1642.81      583.700      878.438      130.941      93.9132      14.0000      106.000      453.000      398.300      224.300      201.402      101.000      121.855      96.5637      38.9800
    7450      3220.00      25860.0      69290.0      65541.9      27042.0      25041.1      9508.70      6911.70      1474.39      315.148      322.000      2586.00      6929.00      5026.70      4033.90      645.757      1407.10      180.360      70.3102      43.1692
    7451      150.000      450.000      1960.00      1813.30      854.000      1047.92      310.400      324.180     -86.1952      8.50675      15.0000      45.0000      196.000      338.800      193.700      116.434      89.4000      116.413      76.1493      42.2825
    7483      140.000      530.000      1580.00      1880.60      1209.10      1151.67      596.500      384.078      194.069     -36.6694      14.0000      53.0000      158.000      302.900      123.900      96.6482      68.5000      94.8520      82.8403      53.7541
    7507      1060.00      8400.00      12690.0      4788.10      1896.40      2037.38      643.300      782.216      137.648     -11.7683      106.000      840.000      1269.00      112.300      108.400      134.080      42.3000      89.1320      109.273      48.3480
    7528      640.000      5430.00      17480.0      13912.9      5728.60      5816.49      1938.10      1575.07      366.698      101.398      64.0000      543.000      1748.00      328.600      144.600      184.120      72.0000      126.335      95.4981      61.6016
    7541      90.0000      1000.00      2750.00      2492.70      1121.70      1151.86      421.700      451.697     -21.2844     -5.90693      9.00000      100.000      275.000      212.400      115.400      129.895      72.9000      76.6960      77.4703      52.5503
    7546      90.0000      400.000      1780.00      2194.00      1254.90      1585.65      600.300      854.760      114.150     -16.6493      9.00000      40.0000      178.000      896.800      631.900      163.755      366.500      81.2887      85.0190      54.1653
    7574      170.000      3760.00      11270.0      8322.70      3689.60      4459.01      1301.80      1043.66      438.636      113.144      17.0000      376.000      1127.00      2389.00      842.000      258.975      410.700      119.069      97.2363      61.2858
    7594      170.000      1800.00      7910.00      8461.20      3752.90      3352.53      1434.90      1008.25      40.9727      91.4846      17.0000      180.000      791.000      1397.20      773.100      183.643      370.000      128.248      88.5578      50.0672
    7627      360.000      1900.00      4040.00      2406.20      991.300      1149.07      345.400      288.608      52.5278     -150.991      36.0000      190.000      404.000      114.000      77.5000      164.854      44.6000      106.665      87.8644      48.8959
    7647      170.000      1400.00      3700.00      3090.20      1430.60      1551.39      539.900      375.275      243.783     -24.8080      17.0000      140.000      370.000      112.900      83.0000      103.020      32.3000      110.293      87.6120      56.5407
    7668      510.000      5100.00      9200.00      8410.90      4075.60      3650.94      1695.60      1177.98      360.615      93.6041      51.0000      510.000      920.000      755.000      456.400      137.664      235.100      97.5513      88.5764      73.0058
    7694      530.000      6920.00      20200.0      33153.0      16988.3      15936.6      7416.70      5798.91      1299.86      325.003      53.0000      692.000      2020.00      1322.90      898.600      554.337      276.400      193.601      106.112      52.4186
    7727      1360.00      11160.0      32830.0      34356.4      15314.9      15134.1      5789.30      3955.61      987.439      303.690      136.000      1116.00      3283.00      2172.70      1419.00      425.210      634.200      173.292      99.0384      54.9605
    7732      3900.00      28660.0      44630.0      27425.0      11883.3      11952.2      4766.00      3304.03      950.112      180.666      390.000      2866.00      4463.00      1109.20      568.700      279.689      405.800      117.065      101.156      41.5222
