#Source	z	S_24	E24   	S_70	E70		S_160	E160	S_250	E250	S_350	E350	S_500	E500	
BOOTES1	0.354	52.2     0.2	614.0     1.5		605.5     3.4	367.4     2.1	161.1     2.3	58.5     3.4	
BOOTES2	0.250	4.3     0.2	347.0     1.0		294.5     2.5	175.9     1.9	69.3     2.1	25.1     2.2	
BOOTES3	0.219	8.7     0.4	244.0     0.8		518.8     3.7	351.4     1.9	164.1     1.9	57.2     2.3	
CDFS1	0.289	2.9     0.1	93.0     1.6		355.9     5.9	195.4     2.5	85.7     3.6	41.3     12.5	
CDFS2	0.248	5.0     0.1	199.2     2.2		371.8     6.7	227.6     2.5	100.9     2.1	33.1     2.5	
ELAISS	0.265	3.9     0.4	56.4     2.1		201.3     10.6	158.9     2.3	78.3     2.7	28.3     3.0	
FLS01	0.417	3.3     0.4	65.0     0.3		0	  0	  80.6     2.4   29.6     6.0   0	 0   
FLS02	0.436	6.2     0.7	230.1     0.3		 314.7     6.1	172.2     2.4	90.5     2.4	     38.8     3.4	
SWIRE1	0.887	5.2     0.2	78.0     1.4		 279.2     6.2	199.8     4.0	139.9     4.8	     45.1     13.6	
SWIRE2	0.362	2.7     0.04	42.7     1.1		 241.74     4.9      201.5     4.2  148.3     4.4 69.1     5.5	
SWIRE4	0.251	6.1     0.5	139.2     1.8		 547.0     6.7	      173.1     7.3  54.8     6.4  14.6     7.9	
SWIRE5	0.366	5.9     0.4	96.0     1.8		 303.2     8.1	      174.1     4.0  83.4     4.1  45.7     6.1	
HLSW-01 2.957	5.5     0.4	  22.2     3.0		 0	   0	      425.0     10.0 340.0     10.0	  233.0     10.0 
XMM1 	2.308	2.2     0.10	  7.9     3.8 		 102.1     6.0	      180.3     14.3 192.1     15.5	  131.6     11.3 
ELAISN	0.693	3.8     0.4	 0	  0		 245.9     7.2	149.2     1.3	83.6     1.2	23.7     1.4	
SWIRE7	0.550	3.3     0.4	 72.4     1.3		 224.5     4.9	191.2     4.9	98.3     4.1	41.7     4.9	
XMM2	0.280	3.8     0.2	 336.0     6.0		 481.2     11.2	188.7     2.35	86.3     5.5	0	 5  
