nu_emit     flux_Jy     1sigma_error_Jy
      5.04856008E+12         122.00000310          12.50000032
      3.02913605E+12         123.00000312          12.50000032
      1.78184473E+12          41.88300048           4.34700023
      1.91717471E+12          40.43399913           5.17500032
      2.08905934E+12          45.33299752           3.65700016
      2.48289840E+12          59.61600264           5.45100035
      3.44220005E+12          97.01401003          13.73100030
      4.80815245E+12         104.05200459          10.07400061
      5.31427376E+12          98.18700658           9.03900074
      5.82526163E+12          88.87200390           8.48700068
      6.73141343E+11           2.70726664           0.79401203
      3.56368946E+11           0.67444839           0.10401280
      2.42330884E+11           0.09500000           0.01100000
