Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS00188-0856,0.1284,3.85,1.02,,,,,1.43,0.19,2.84,0.51,2.15,0.15,2.48,0.44,2.59,0.36,2.33,0.08,3.42,0.26,0.8773,0.0044,0.3451,0.004,0.111,0.0047,2.29,0.23,3.403,0.24,,,,,0.37,0.07,,,,,,,,,,,,,,,,,,,,,0.01221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS00397-1312,0.2617,1.61,0.25,,,,,1.47,0.31,1.68,0.42,0.55,0.28,1.63,0.43,1.79,0.24,1.08,0.07,1,0.75,0.389,0.0037,0.1299,0.0039,0.0402,0.0051,1.83,0.128,1.904,0.17,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,0.004422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS01003-2238,0.1178,5.36,1.23,,,,,0.38,0.22,2.24,0.85,0.68,0.15,1.97,0.63,2.2,0.46,0.92,0.08,1.93,0.45,0.2221,0.0036,0.0699,0.0041,0.0263,0.0056,2.287,0.16,1.79,0.179,,,,,0.66,0.08,,,,,,,,,,,,,,,,,,,,,0.002893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS03158+4227,0.1344,5.63,0.11,,,,,1.17,0.19,2.18,0.54,1.61,0.19,1.89,0.35,2.14,0.35,1.53,0.08,2.09,0.3,0.9731,0.004,0.3768,0.0039,0.1372,0.0046,4.256,0.5,4.276,0.51,,,,,0.454,0.03,3.19,1,1.75,0.53,,,1.05,0.3,,,,,,,,,,,,,0.015092
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS03521+0028,0.1519,3.75,1.08,,,,,0.92,0.16,2.46,0.35,1.37,0.17,2.01,0.57,2.13,0.62,1.67,0.06,2.21,0.34,0.6837,0.0038,0.2703,0.0039,0.0937,0.0043,2.638,0.24,3.833,0.34,,,,,0.233,0.033,,,,,,,,,,,,,,,,,,,,,0.010307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS05189-2524,0.04256,13.2,1.2,11.44119054,0.632247068,6.230651614,0.309468012,4.66,0.06,11.9,0.07,,,,,,,,,,,1.9634,0.0109,0.7173,0.0071,0.2107,0.0091,13.25,0.029,11.84,0.077,,,,,3.5,0.025,10.6,0.4,7,0.4,3.2,0.3,2.9,0.4,,,,,,,,,,,,,0.023177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS06035-7102,0.07947,30.58,2.04,,,,,2.47,0.16,4.95,0.59,3.25,0.15,4.05,0.71,4.75,0.49,3.71,0.06,6.2,0.49,1.2264,0.0221,0.3968,0.001,0.1295,0.0078,5.18,0.03,5.56,0.28,,,,,0.57,0.017,5.15,1.5,2.9,0.87,2.01,0.6,1.35,0.41,,,,,,,,,,,,,0.014245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS06206-6315,0.09244,9.25,1.19,,,,,2.13,0.17,2.95,0.67,2.43,0.14,2.25,0.57,2.63,0.51,3.17,0.07,4.45,0.41,1.2482,0.0046,0.4766,0.0039,0.1575,0.0046,3.959,0.119,4.577,0.275,,,,,0.294,0.018,4.57,1.37,2.9,0.87,1.87,0.56,1.5,0.45,,,,,,,,,,,,,0.017325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS07598+6508,0.1483,2.1,0.38,,,,,,,0.85,0.24,0.73,0.17,0.82,0.56,0.81,0.37,0.72,0.07,,,0.4999,0.004,0.1966,0.004,0.0582,0.0045,1.692,0.085,1.72,0.19,,,,,0.534,0.037,,,,,,,,,,,,,,,,,,,,,0.006402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS08311-2459,0.1004,24.32,0.35,,,,,2.42,0.23,5.13,1.03,3.13,0.12,3.97,0.85,5.11,0.4,3.85,0.07,5.9,0.5,1.2462,0.0048,0.4639,0.0039,0.1475,0.0047,4.959,0.35,5.8,0.41,,,,,1.095,0.055,,,,,,,,,,,,,,,,,,,,,0.016225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS08572+3915,0.05835,10,0.06,4.456392634,0.245994219,1.993752515,0.100790625,1.42,0.03,5.86,0.05,,,,,,,,,,,0.5044,0.004,0.1635,0.0037,0.0598,0.0043,7.3,0.028,4.77,0.152,0.017,0.007,,,1.84,0.033,,,,,,,,,,,,,,,,,,,,,0.006578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
