Name	F60  E60	F100 E100	F450  E450	F850 E850	z

10494   3527 212        5412 325        134.0 13.0      16.0 1.7        0.09206
11506   2583 155        3323 266        35.0 8.7        4.3 1.1         0.12729
12112	8503 510	9976 800	483.0 96.0  	49.0 10.0	0.07332
12540   31990 1600      30290 1211      513.0 134.0     96.0 18.0       0.04217
13428   21740 870       21380 860       707.0 200.0     84.0 22.0       0.03778
13442   1625 146        2259 181        107.0 12.5      15.5 1.7        0.1421
14394   1954 78         2395 120        53.5 10.4       5.8 1.5         0.105
15001   1871 94         2043 184        48.0 6.0        7.4 1.5         0.16275
15250   7286 364        5907 295        252.0 70.0      33.0 8.0        0.055155
15327   103800 3390     112400 3372     6286.0 786.0    832.0 86.0      0.018
903	7910	54	14580 	100	1500	315	178	26	0.008
958	5900	41	14990	212	2251	428	262	34	0.019
