#Arp220 z=0.018
# from DLC email 30 June 2014
#Wavelength      Flux            Error
#(microns)       (Jy)            (Jy)
250             30.1            1.5
350             11.7            0.6             
500             3.9             0.2
586             2.2             0.5
480             4.3             0.9
400             7.6             1.2
345             12.2            1.6
300             18.4            2.0
270             24.4            2.2
240             32.2            2.4
220             39.7            2.4
200             50.9            1.6
52.000          120.900         2.418
57.000          134.200         2.684
63.000          148.100         2.962
88.000          151.400         3.028
122.000         118.400         2.368
145.000         100.200         2.004
158.000         84.500          1.690
170.000         77.100          1.542
25              8.0             0.034 
60              104.1           0.01
100             115.3           0.14
450             6.29            0.78
850             0.832           0.086
1100            0.35            0.019
1250            0.226           0.01
